PM2 配抄排程表,,,,,,,
機台總寬限制,10.77 ~ 10.82 台尺,,,,,,
,,,,,,,
序號,寬度-1,寬度-2,寬度-3,寬度-4,寬度-5,總寬,數量,說明
M901,2.3 (W),2.3 (W),2.3 (W),2.2 (W),1.7 (P),10.80,1,補 1.7 台尺庫存
M902,2.4 (W),2.4 (W),2.2 (W),2.2 (W),1.6 (P),10.80,1,補 1.6 台尺庫存
M903,2.7 (W),2.5 (W),2.4 (W),1.6 (P),1.6 (P),10.80,1,補 1.6 台尺 ×2
M904,2.3 (W),2.3 (W),2.1 (W),2.1 (W),2.0 (P),10.80,1,補 2.0 台尺庫存
M905,2.1 (W),2.9 (P),2.9 (P),2.9 (P),—,10.80,1,補 2.9 台尺 ×3
,,,,,,,,
備註,W=訂單,P=庫存填補,,,,,,

==============================

"6"" 紙管採購明細表",,,,
,,,,
規格(台尺),規格(mm),總需求粒數,類型,備註
2.9,879,3,P 庫存,黃金規格
2.7,818,1,W 訂單,
2.5,758,1,W 訂單,
2.4,727,3,W 訂單,
2.3,697,5,W 訂單,
2.2,667,3,W 訂單,
2.1,636,3,W 訂單,
2.0,606,1,P 庫存,黃金規格
1.7,515,1,P 庫存,黃金規格
1.6,485,3,P 庫存,黃金規格
總計,,24,,"6"" 紙管總量"
